0.00019972	8.3587e-05	0.00028791
0.001	0.00097927	0.00099217
0.001	0.00078123	0.001
0.00099641	0.001	0.001
0.00099996	0.001	0.001
0.05	0.05	0.05
0.05	0.05	0.049999
0.05	0.05	0.05
0.049311	0.05	0.05
0.05	0.05	0.05
3.8055	1.5	3.3089
1.5	1.8399	1.5
1.5	1.5007	1.5
1.5	1.5	1.5
1.5024	1.5	1.5
1	1	0.99999
0.98582	0.99994	0.99994
0.96756	0.90325	0.99083
0.43066	0.73067	0.53395
1	0.52252	0.5987
0.1	0.1	0.1
0.87516	0.80292	1.005
0.39292	0.53052	0.52901
0.1	0.22498	0.14114
0.35844	0.11196	0.12702
0.015	0.015	0.015
0.015	0.014998	0.015
0.015	0.015	0.015
0.014999	0.015	0.015
0.015	0.015	0.015
1.5	1.5	1.4625
0.55607	0.50001	0.5
1.0167	0.5	0.67626
1.472	1.0374	1.2628
0.5	1.2482	1.2722
3.7614	5.0782	8.6605
0.46438	0.50284	0.52185
0.53805	0.38577	0.47775
0.62945	0.56341	0.64171
0.38463	0.61551	0.59899
